ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D06CTE,,INova Pharmaceuticals,Antiviral Agents,Small molecular drug,Approved
D06DLI,Radicava,Mitsubishi Tanabe,,Small molecular drug,Approved
D06FDR,,Bristol-Myers Squibb,Anti-HIV Agents,Small molecular drug,Approved
D06FEA,,Pfizer Pharmaceuticals,Prostaglandins,Small molecular drug,Approved
D06FES,,Pfizer Pharmaceuticals,Antidepressants,Small molecular drug,Approved
D06FPQ,,Vernalis,Antimigraine Agents,Small molecular drug,Approved
D06FWC,,Dainippon Sumitomo Pharma,Antianxiety Agents,Small molecular drug,Approved
D06GBQ,,Hoffmann-La Roche pharmaceutical company,Anti-HIV Agents,Small molecular drug,Approved
D06GDY,,GlaxoSmithKline,Antidepressants,Small molecular drug,Approved
D06GKN,,Prometheus Laboratories Inc,Gastrointestinal Agents,Small molecular drug,Approved
D06GWF,,Roche Laboratories Inc,Antiviral Agents,Small molecular drug,Approved
D06HBQ,,Boehriger Ingelheim,Hypoglycemic Agents,Small molecular drug,Approved
D06HLY,,Alcon Laboratories,Cholinergic Agents,Small molecular drug,Approved
D06IAQ,,Sanofi Aventis Us Llc,Antiarrhythmic Agents,Small molecular drug,Approved
D06IGU,,Bayer Pharmaceuticals Corporation,Antibiotics,Small molecular drug,Approved
D06JPB,,Eli Lilly,Vitamins,Small molecular drug,Approved
D06KKS,,Kent Pharms,Antibiotics,Small molecular drug,Approved
D06LYG,,Astrazeneca Lp,Anesthetics,Small molecular drug,Approved
D06NSS,,Zambon Group,Antiasthmatic Agents,Small molecular drug,Approved
D06NXY,,Schering-Plough,Estrogens,Small molecular drug,Approved
D06OIV,,Pharmacia And Upjohn Co,Hypoglycemic Agents,Small molecular drug,Approved
D06OMK,,Fujisawa; Sucampo,Immunosuppressive Agents,Small molecular drug,Approved
D06OMW,,Teva Pharmaceutical Industries Ltd,Antiparkinson Agents,Small molecular drug,Approved
D06OVY,,Wyeth Pharmaceuticals,Antibiotics,Small molecular drug,Approved
D06PSS,,Norvatis Phamaceuticals Corporation,Hypoglycemic Agents,Small molecular drug,Approved
D06RCB,,Lederle Laboratories Div American Cyanamid Co,Anthelmintics,Small molecular drug,Approved
D06RGG,,Abbott Laboratories,Antithyroid Agents,Small molecular drug,Approved
D06TOE,,Astellas Pharma,Antifungal Agents,Small molecular drug,Approved
D06TQZ,,Beecham phamaceuticals,Antibiotics,Small molecular drug,Approved
D06UDG,,Norvatis Phamaceuticals Corporation,Antihypertensive Agents,Small molecular drug,Approved
D06UDO,,Amarin Pharmaceuticals,Antihistamines,Small molecular drug,Approved
D06UVD,,Bristol-Myers Squibb,Anticancer Agents,Small molecular drug,Approved
D06WTZ,,Atos Pharma,Anticholesteremic Agents,Small molecular drug,Approved
D06XXH,Vizimpro,Pfizer,,Small molecular drug,Approved
D06XZW,,Daiichi Sankyo Pharma Development,Antiinflammatory Agents,Small molecular drug,Approved
D06YFA,,Norvatis Phamaceuticals Corporation,Antiparkinson Agents,Small molecular drug,Approved
D06YHL,,Eli Lilly,Antibiotics,Small molecular drug,Approved
D06ZEE,,GlaxoSmithKline,Antifungal Agents,Small molecular drug,Approved
D06ZII,,GSK,Hypnotics and Sedatives,Small molecular drug,Approved
D06ZUK,,Novartis Pharmaceuticals Corp,Antidepressants,Small molecular drug,Approved
D07ABV,,Schering-Plough,Antifungal Agents,Small molecular drug,Approved
D07ACT,,Hoffmann-La Roche pharmaceutical company,Antibiotics,Small molecular drug,Approved
D07BCT,,"Bausch & Lomb Pharmaceuticals, Inc.",Antibiotics,Small molecular drug,Approved
D07CPU,,Sanofi-Aventis,Antiinfective Agents,Small molecular drug,Approved
D07DVK,,Shire Pharmaceuticals,Antiasthmatic Agents,Small molecular drug,Approved
D07FEC,Trulance,Synergy Pharmaceuticals,,Small molecular drug,Approved
D07HGR,,Merck & Co,Antihypertensive Agents,Small molecular drug,Approved
D07HOB,,Pfizer Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D07HQC,,Cephalon Inc,Neurology Agents,Small molecular drug,Approved
D07INL,Brexafemme,Scynexis,,Small molecular drug,Approved
D07IQS,,Bristol-Myers Squibb,Anti-HIV Agents,Small molecular drug,Approved
D07JHH,,Johnson And Johnson Consumer Companies Inc,Antibiotics,Small molecular drug,Approved
D07JVS,,Eli Lilly,Antibiotics,Small molecular drug,Approved
D07JZF,,Abbott Laboratories,Antibiotics,Small molecular drug,Approved
D07KSG,,AstraZeneca plc,Anticancer Agents,Small molecular drug,Approved
D07KYT,Vanflyta,Daiichi Sankyo,,Small molecular drug,Approved
D07MOX,,Bedford Laboratories,Vasoconstrictor Agents,Small molecular drug,Approved
D07MVK,,GlaxoSmithKline,Antimalarials,Small molecular drug,Approved
D07NAJ,,Abbott Laboratories,Anesthetics,Small molecular drug,Approved
D07POC,,OSI Pharma,Anticancer Agents,Small molecular drug,Approved
